Data;Preco
27/06/2018;R$ 4.30
28/06/2018;R$ 4.27
29/06/2018;R$ 4.27
02/07/2018;R$ 4.28
03/07/2018;R$ 4.29
04/07/2018;R$ 4.27
05/07/2018;R$ 4.32
06/07/2018;R$ 4.28
09/07/2018;R$ 4.26
10/07/2018;R$ 4.34
11/07/2018;R$ 4.28
12/07/2018;R$ 4.32
13/07/2018;R$ 4.32
16/07/2018;R$ 4.31
17/07/2018;R$ 4.30
18/07/2018;R$ 4.32
19/07/2018;R$ 4.37
20/07/2018;R$ 4.31
23/07/2018;R$ 4.28
24/07/2018;R$ 4.30
25/07/2018;R$ 4.31
26/07/2018;R$ 4.30
27/07/2018;R$ 4.23
30/07/2018;R$ 4.27
31/07/2018;R$ 4.26
01/08/2018;R$ 4.30
02/08/2018;R$ 4.31
03/08/2018;R$ 4.20
06/08/2018;R$ 4.23
07/08/2018;R$ 4.26
08/08/2018;R$ 4.29
09/08/2018;R$ 4.22
10/08/2018;R$ 4.25
13/08/2018;R$ 4.24
14/08/2018;R$ 4.24
15/08/2018;R$ 4.25
16/08/2018;R$ 4.25
17/08/2018;R$ 4.20
20/08/2018;R$ 4.22
21/08/2018;R$ 4.24
22/08/2018;R$ 4.28
23/08/2018;R$ 4.23
24/08/2018;R$ 4.21
27/08/2018;R$ 4.25
28/08/2018;R$ 4.24
29/08/2018;R$ 4.26
30/08/2018;R$ 4.34
31/08/2018;R$ 4.37
03/09/2018;R$ 4.35
04/09/2018;R$ 4.37
05/09/2018;R$ 4.35
06/09/2018;R$ 4.45
07/09/2018;R$ 4.40
10/09/2018;R$ 4.41
11/09/2018;R$ 4.43
12/09/2018;R$ 4.46
13/09/2018;R$ 4.46
14/09/2018;R$ 4.41
17/09/2018;R$ 4.48
18/09/2018;R$ 4.47
19/09/2018;R$ 4.50
20/09/2018;R$ 4.49
21/09/2018;R$ 4.46
24/09/2018;R$ 4.48
25/09/2018;R$ 4.49
26/09/2018;R$ 4.50
27/09/2018;R$ 4.49
28/09/2018;R$ 4.48
01/10/2018;R$ 4.52
02/10/2018;R$ 4.49
03/10/2018;R$ 4.54
04/10/2018;R$ 4.50
05/10/2018;R$ 4.54
08/10/2018;R$ 4.52
09/10/2018;R$ 4.54
10/10/2018;R$ 4.54
11/10/2018;R$ 4.55
12/10/2018;R$ 4.55
15/10/2018;R$ 4.55
16/10/2018;R$ 4.53
17/10/2018;R$ 4.54
18/10/2018;R$ 4.58
19/10/2018;R$ 4.55
22/10/2018;R$ 4.53
23/10/2018;R$ 4.57
24/10/2018;R$ 4.56
25/10/2018;R$ 4.52
26/10/2018;R$ 4.51
29/10/2018;R$ 4.51
30/10/2018;R$ 4.53
31/10/2018;R$ 4.51
01/11/2018;R$ 4.56
02/11/2018;R$ 4.49
05/11/2018;R$ 4.49
06/11/2018;R$ 4.48
07/11/2018;R$ 4.47
08/11/2018;R$ 4.44
09/11/2018;R$ 4.41
12/11/2018;R$ 4.43
13/11/2018;R$ 4.37
14/11/2018;R$ 4.39
15/11/2018;R$ 4.40
16/11/2018;R$ 4.20
19/11/2018;R$ 4.32
20/11/2018;R$ 4.38
